Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
I199,1e-07,1e-07,1e-07,0.99951171875,0.00048828125
I198,1e-07,1e-07,1e-07,0.00048828125,0.99951171875
I200.1,1e-07,1e-07,1e-07,0.0001220703125,0.9998779296875
I203.1,1e-07,1e-07,1e-07,0.00048828125,0.99951171875
I203.2,1e-07,1e-07,1e-07,0.5,0.5
I203.3,1e-07,1e-07,1e-07,0.999755859375,0.000244140625
I203.4,1e-07,1e-07,1e-07,0.500244140625,0.499755859375
I209.1,1e-07,1e-07,1e-07,0.9990234375,0.0009765625
I209.2,1e-07,1e-07,1e-07,0.5,0.5
I209.3,1e-07,1e-07,1e-07,0.50048828125,0.49951171875
I209.4,1e-07,1e-07,1e-07,0.99951171875,0.00048828125
I215.1,1e-07,1e-07,1e-07,0.5,0.5
I215.2,1e-07,1e-07,1e-07,0.001953125,0.998046875
I215.3,1e-07,1e-07,1e-07,0.5009765625,0.4990234375
I215.4,1e-07,1e-07,1e-07,0.9990234375,0.0009765625
I222.1,1e-07,1e-07,1e-07,0.000244140625,0.999755859375
I192,1e-07,1e-07,1e-07,0.4998779296875,0.5001220703125
I253,1e-07,1e-07,1e-07,0.0001220703125,0.9998779296875
I271,1e-07,1e-07,1e-07,6.103515625e-05,0.99993896484375
I274,1e-07,1e-07,1e-07,0.999969482421875,3.0517578125e-05
I273,1e-07,1e-07,1e-07,3.0517578125e-05,0.999969482421875
I275.1,1e-07,1e-07,1e-07,7.62939453125e-06,0.9999923706054688
I278.1,1e-07,1e-07,1e-07,3.0517578125e-05,0.999969482421875
I278.2,1e-07,1e-07,1e-07,0.5,0.5
I278.3,1e-07,1e-07,1e-07,0.9999847412109375,1.52587890625e-05
I278.4,1e-07,1e-07,1e-07,0.5000152587890625,0.4999847412109375
I28,1e-07,1e-07,1e-07,0.5,0.5
I284.1,1e-07,1e-07,1e-07,0.99993896484375,6.103515625e-05
I284.2,1e-07,1e-07,1e-07,0.5,0.5
I284.3,1e-07,1e-07,1e-07,0.500030517578125,0.499969482421875
I284.4,1e-07,1e-07,1e-07,0.999969482421875,3.0517578125e-05
I290.1,1e-07,1e-07,1e-07,0.5,0.5
I290.2,1e-07,1e-07,1e-07,0.0001220703125,0.9998779296875
I290.3,1e-07,1e-07,1e-07,0.50006103515625,0.49993896484375
I290.4,1e-07,1e-07,1e-07,0.99993896484375,6.103515625e-05
I297.1,1e-07,1e-07,1e-07,1.52587890625e-05,0.9999847412109375
I267,1e-07,1e-07,1e-07,0.49999237060546875,0.5000076293945312
I328,1e-07,1e-07,1e-07,7.62939453125e-06,0.9999923706054688
I329,1e-07,1e-07,1e-07,0.5,0.5
I330,1e-07,1e-07,1e-07,0.5,0.5
I344,1e-07,1e-07,1e-07,0.25,0.75
I2.5,1e-07,1e-07,1e-07,0.9375,0.0625
I1.6,1e-07,1e-07,1e-07,0.9999995231628418,4.76837158203125e-07
I349,1e-07,1e-07,1e-07,0.9999980926513672,1.9073486328125e-06
I348,1e-07,1e-07,1e-07,1.9073486328125e-06,0.9999980926513672
I350.1,1e-07,1e-07,1e-07,4.76837158203125e-07,0.9999995231628418
I353.1,1e-07,1e-07,1e-07,1.9073486328125e-06,0.9999980926513672
I353.2,1e-07,1e-07,1e-07,0.5,0.5
I353.3,1e-07,1e-07,1e-07,0.9999990463256836,9.5367431640625e-07
I353.4,1e-07,1e-07,1e-07,0.5000009536743164,0.4999990463256836
I365.1,1e-07,1e-07,1e-07,0.5,0.5
I365.2,1e-07,1e-07,1e-07,7.62939453125e-06,0.9999923706054688
I365.3,1e-07,1e-07,1e-07,0.5000038146972656,0.4999961853027344
I365.4,1e-07,1e-07,1e-07,0.9999961853027344,3.814697265625e-06
I372.1,1e-07,1e-07,1e-07,9.5367431640625e-07,0.9999990463256836
I342,1e-07,1e-07,1e-07,0.4999995231628418,0.5000004768371582
I403,1e-07,1e-07,1e-07,4.76837158203125e-07,0.9999995231628418
I404,1e-07,1e-07,1e-07,0.5,0.5
I405,1e-07,1e-07,1e-07,0.5,0.5
I419,1e-07,1e-07,1e-07,0.25,0.75
I2.6,1e-07,1e-07,1e-07,0.9375,0.0625
I1.7,1e-07,1e-07,1e-07,0.9999999701976776,1e-07
I421,1e-07,1e-07,1e-07,2.384185791015625e-07,0.9999997615814209
I424,1e-07,1e-07,1e-07,0.9999998807907104,1.1920928955078125e-07
I423,1e-07,1e-07,1e-07,1.1920928955078125e-07,0.9999998807907104
I425.1,1e-07,1e-07,1e-07,1e-07,0.9999999701976776
I428.1,1e-07,1e-07,1e-07,1.1920928955078125e-07,0.9999998807907104
I428.2,1e-07,1e-07,1e-07,0.5,0.5
I428.3,1e-07,1e-07,1e-07,0.9999999403953552,1e-07
I428.4,1e-07,1e-07,1e-07,0.5000000596046448,0.4999999403953552
I434.1,1e-07,1e-07,1e-07,0.9999997615814209,2.384185791015625e-07
I434.2,1e-07,1e-07,1e-07,0.5,0.5
I434.3,1e-07,1e-07,1e-07,0.5000001192092896,0.49999988079071045
I434.4,1e-07,1e-07,1e-07,0.9999998807907104,1.1920928955078125e-07
I440.1,1e-07,1e-07,1e-07,0.5,0.5
I440.2,1e-07,1e-07,1e-07,4.76837158203125e-07,0.9999995231628418
I440.3,1e-07,1e-07,1e-07,0.5000002384185791,0.4999997615814209
I440.4,1e-07,1e-07,1e-07,0.9999997615814209,2.384185791015625e-07
I447.1,1e-07,1e-07,1e-07,1e-07,0.9999999403953552
I417,1e-07,1e-07,1e-07,0.4999999701976776,0.5000000298023224
I46,1e-07,1e-07,1e-07,0.25,0.75
I478,1e-07,1e-07,1e-07,1e-07,0.9999999701976776
I479,1e-07,1e-07,1e-07,0.5,0.5
I480,1e-07,1e-07,1e-07,0.5,0.5
I49,1e-07,1e-07,1e-07,0.875,0.125
I48,1e-07,1e-07,1e-07,0.125,0.875
I494,1e-07,1e-07,1e-07,0.25,0.75
I2.7,1e-07,1e-07,1e-07,0.9375,0.0625
I1.8,1e-07,1e-07,1e-07,0.9999999981373549,1e-07
I496,1e-07,1e-07,1e-07,1e-07,0.9999999850988388
I499,1e-07,1e-07,1e-07,0.9999999925494194,1e-07
I498,1e-07,1e-07,1e-07,1e-07,0.9999999925494194
I50.1,1e-07,1e-07,1e-07,0.03125,0.96875
I500.1,1e-07,1e-07,1e-07,1e-07,0.9999999981373549
I503.1,1e-07,1e-07,1e-07,1e-07,0.9999999925494194
I503.2,1e-07,1e-07,1e-07,0.5,0.5
I503.3,1e-07,1e-07,1e-07,0.9999999962747097,1e-07
I503.4,1e-07,1e-07,1e-07,0.5000000037252903,0.4999999962747097
I509.1,1e-07,1e-07,1e-07,0.9999999850988388,1e-07
I509.2,1e-07,1e-07,1e-07,0.5,0.5
I509.3,1e-07,1e-07,1e-07,0.5000000074505806,0.4999999925494194
I509.4,1e-07,1e-07,1e-07,0.9999999925494194,1e-07
I515.1,1e-07,1e-07,1e-07,0.5,0.5
I515.2,1e-07,1e-07,1e-07,1e-07,0.9999999701976776
I515.3,1e-07,1e-07,1e-07,0.5000000149011612,0.4999999850988388
I515.4,1e-07,1e-07,1e-07,0.9999999850988388,1e-07
I522.1,1e-07,1e-07,1e-07,1e-07,0.9999999962747097
I492,1e-07,1e-07,1e-07,0.49999999813735485,0.5000000018626451
I53.1,1e-07,1e-07,1e-07,0.125,0.875
I53.2,1e-07,1e-07,1e-07,0.5,0.5
I53.3,1e-07,1e-07,1e-07,0.9375,0.0625
I53.4,1e-07,1e-07,1e-07,0.5625,0.4375
I570,1e-07,1e-07,1e-07,1e-07,0.9999999990686774
I571,1e-07,1e-07,1e-07,0.9999999990686774,1e-07
I580.1,1e-07,1e-07,1e-07,0.9999999990686774,1e-07
I586.1,1e-07,1e-07,1e-07,0.5,0.5
I586.2,1e-07,1e-07,1e-07,1e-07,0.9999999981373549
I586.3,1e-07,1e-07,1e-07,0.5000000009313226,0.4999999990686774
I586.4,1e-07,1e-07,1e-07,0.9999999990686774,1e-07
I59.1,1e-07,1e-07,1e-07,0.75,0.25
I59.2,1e-07,1e-07,1e-07,0.5,0.5
I59.3,1e-07,1e-07,1e-07,0.625,0.375
I59.4,1e-07,1e-07,1e-07,0.875,0.125
I616.7,1e-07,1e-07,1e-07,0.875,0.125
I622,1e-07,1e-07,1e-07,0.5,0.5
I623,1e-07,1e-07,1e-07,0.5,0.5
I624,1e-07,1e-07,1e-07,0.5,0.5
I625,1e-07,1e-07,1e-07,0.5,0.5
I626,1e-07,1e-07,1e-07,0.5,0.5
I634,1e-07,1e-07,1e-07,0.25,0.75
I635,1e-07,1e-07,1e-07,0.75,0.25
I632,1e-07,1e-07,1e-07,0.125,0.875
I65.1,1e-07,1e-07,1e-07,0.5,0.5
I65.2,1e-07,1e-07,1e-07,0.5,0.5
I65.3,1e-07,1e-07,1e-07,0.75,0.25
I65.4,1e-07,1e-07,1e-07,0.75,0.25
I650,1e-07,1e-07,1e-07,0.5,0.5
I651,1e-07,1e-07,1e-07,0.5,0.5
I615.2,1e-07,1e-07,1e-07,0.75,0.25
I652,1e-07,1e-07,1e-07,0.5,0.5
I653,1e-07,1e-07,1e-07,0.5,0.5
I654,1e-07,1e-07,1e-07,0.5,0.5
I662,1e-07,1e-07,1e-07,0.25,0.75
I616.2,1e-07,1e-07,1e-07,0.875,0.125
I663,1e-07,1e-07,1e-07,0.75,0.25
I660,1e-07,1e-07,1e-07,0.125,0.875
I617.2,1e-07,1e-07,1e-07,0.9375,0.0625
I618.2,1e-07,1e-07,1e-07,0.96875,0.03125
I678,1e-07,1e-07,1e-07,0.5,0.5
I679,1e-07,1e-07,1e-07,0.5,0.5
I615.3,1e-07,1e-07,1e-07,0.75,0.25
I680,1e-07,1e-07,1e-07,0.5,0.5
I681,1e-07,1e-07,1e-07,0.5,0.5
I682,1e-07,1e-07,1e-07,0.5,0.5
I690,1e-07,1e-07,1e-07,0.25,0.75
I616.3,1e-07,1e-07,1e-07,0.875,0.125
I691,1e-07,1e-07,1e-07,0.75,0.25
I688,1e-07,1e-07,1e-07,0.125,0.875
I617.3,1e-07,1e-07,1e-07,0.9375,0.0625
I618.3,1e-07,1e-07,1e-07,0.96875,0.03125
I706,1e-07,1e-07,1e-07,0.5,0.5
I707,1e-07,1e-07,1e-07,0.5,0.5
I615.4,1e-07,1e-07,1e-07,0.75,0.25
I708,1e-07,1e-07,1e-07,0.5,0.5
I709,1e-07,1e-07,1e-07,0.5,0.5
I710,1e-07,1e-07,1e-07,0.5,0.5
I718,1e-07,1e-07,1e-07,0.25,0.75
I616.4,1e-07,1e-07,1e-07,0.875,0.125
I719,1e-07,1e-07,1e-07,0.75,0.25
I716,1e-07,1e-07,1e-07,0.125,0.875
I617.4,1e-07,1e-07,1e-07,0.9375,0.0625
I618.4,1e-07,1e-07,1e-07,0.96875,0.03125
I72.1,1e-07,1e-07,1e-07,0.0625,0.9375
I42,1e-07,1e-07,1e-07,0.46875,0.53125
I734,1e-07,1e-07,1e-07,0.5,0.5
I735,1e-07,1e-07,1e-07,0.5,0.5
I615.5,1e-07,1e-07,1e-07,0.75,0.25
I736,1e-07,1e-07,1e-07,0.5,0.5
I737,1e-07,1e-07,1e-07,0.5,0.5
I738,1e-07,1e-07,1e-07,0.5,0.5
I746,1e-07,1e-07,1e-07,0.25,0.75
I616.5,1e-07,1e-07,1e-07,0.875,0.125
I747,1e-07,1e-07,1e-07,0.75,0.25
I744,1e-07,1e-07,1e-07,0.125,0.875
I617.5,1e-07,1e-07,1e-07,0.9375,0.0625
I618.5,1e-07,1e-07,1e-07,0.96875,0.03125
I762,1e-07,1e-07,1e-07,0.5,0.5
I763,1e-07,1e-07,1e-07,0.5,0.5
I615.6,1e-07,1e-07,1e-07,0.75,0.25
I764,1e-07,1e-07,1e-07,0.5,0.5
I765,1e-07,1e-07,1e-07,0.5,0.5
I766,1e-07,1e-07,1e-07,0.5,0.5
I774,1e-07,1e-07,1e-07,0.25,0.75
I616.6,1e-07,1e-07,1e-07,0.875,0.125
I775,1e-07,1e-07,1e-07,0.75,0.25
I772,1e-07,1e-07,1e-07,0.125,0.875
I617.6,1e-07,1e-07,1e-07,0.9375,0.0625
I618.6,1e-07,1e-07,1e-07,0.96875,0.03125
I790,1e-07,1e-07,1e-07,0.5,0.5
I615.7,1e-07,1e-07,1e-07,0.75,0.25
I793,1e-07,1e-07,1e-07,0.5,0.5
I617.7,1e-07,1e-07,1e-07,0.9375,0.0625
I829,1e-07,1e-07,1e-07,0.25,0.75
I830,1e-07,1e-07,1e-07,0.75,0.25
I894,1e-07,1e-07,1e-07,0.5,0.5
I895,1e-07,1e-07,1e-07,0.5,0.5
I903.2,1e-07,1e-07,1e-07,0.75,0.25
I918,1e-07,1e-07,1e-07,0.5,0.5
I919,1e-07,1e-07,1e-07,0.5,0.5
I942,1e-07,1e-07,1e-07,0.5,0.5
I943,1e-07,1e-07,1e-07,0.5,0.5
I966,1e-07,1e-07,1e-07,0.5,0.5
I967,1e-07,1e-07,1e-07,0.5,0.5
I990,1e-07,1e-07,1e-07,0.5,0.5
I991,1e-07,1e-07,1e-07,0.5,0.5
P.1,1e-07,1e-07,1e-07,0.75,0.25
I903.1,1e-07,1e-07,1e-07,0.875,0.125
I898,1e-07,1e-07,1e-07,0.34375,0.65625
P.10,1e-07,1e-07,1e-07,0.99951171875,0.00048828125
I938,1e-07,1e-07,1e-07,0.00048828125,0.99951171875
I947.2,1e-07,1e-07,1e-07,0.000244140625,0.999755859375
P.11,1e-07,1e-07,1e-07,0.999755859375,0.000244140625
I939,1e-07,1e-07,1e-07,0.000244140625,0.999755859375
I947.1,1e-07,1e-07,1e-07,0.0001220703125,0.9998779296875
P.12,1e-07,1e-07,1e-07,0.9998779296875,0.0001220703125
I975.2,1e-07,1e-07,1e-07,0.99993896484375,6.103515625e-05
P.13,1e-07,1e-07,1e-07,0.99993896484375,6.103515625e-05
I975.1,1e-07,1e-07,1e-07,0.999969482421875,3.0517578125e-05
I970,1e-07,1e-07,1e-07,9.155087172985077e-05,0.9999084491282701
P.14,1e-07,1e-07,1e-07,0.999969482421875,3.0517578125e-05
I962,1e-07,1e-07,1e-07,3.0517578125e-05,0.999969482421875
I971.2,1e-07,1e-07,1e-07,1.52587890625e-05,0.9999847412109375
P.15,1e-07,1e-07,1e-07,0.9999847412109375,1.52587890625e-05
I963,1e-07,1e-07,1e-07,1.52587890625e-05,0.9999847412109375
I971.1,1e-07,1e-07,1e-07,7.62939453125e-06,0.9999923706054688
I877.4,1e-07,1e-07,1e-07,0.9998855631565142,0.00011443684348577676
P.16,1e-07,1e-07,1e-07,0.9999923706054688,7.62939453125e-06
I999.2,1e-07,1e-07,1e-07,0.9999961853027344,3.814697265625e-06
P.17,1e-07,1e-07,1e-07,0.9999961853027344,3.814697265625e-06
I999.1,1e-07,1e-07,1e-07,0.9999980926513672,1.9073486328125e-06
I994,1e-07,1e-07,1e-07,5.722038622479886e-06,0.9999942779613775
P.18,1e-07,1e-07,1e-07,0.9999980926513672,1.9073486328125e-06
I986,1e-07,1e-07,1e-07,1.9073486328125e-06,0.9999980926513672
I995.2,1e-07,1e-07,1e-07,9.5367431640625e-07,0.9999990463256836
P.19,1e-07,1e-07,1e-07,0.9999990463256836,9.5367431640625e-07
I987,1e-07,1e-07,1e-07,9.5367431640625e-07,0.9999990463256836
I995.1,1e-07,1e-07,1e-07,4.76837158203125e-07,0.9999995231628418
I877.5,1e-07,1e-07,1e-07,0.9999928474585431,7.152541456889594e-06
P.2,1e-07,1e-07,1e-07,0.875,0.125
I890,1e-07,1e-07,1e-07,0.125,0.875
I899.2,1e-07,1e-07,1e-07,0.0625,0.9375
P.20,1e-07,1e-07,1e-07,0.9999995231628418,4.76837158203125e-07
I1023.2,1e-07,1e-07,1e-07,0.9999997615814209,2.384185791015625e-07
P.21,1e-07,1e-07,1e-07,0.9999997615814209,2.384185791015625e-07
I1023.1,1e-07,1e-07,1e-07,0.9999998807907104,1.1920928955078125e-07
I1018,1e-07,1e-07,1e-07,3.576278402306343e-07,0.9999996423721598
P.22,1e-07,1e-07,1e-07,0.9999998807907104,1.1920928955078125e-07
I1010,1e-07,1e-07,1e-07,1.1920928955078125e-07,0.9999998807907104
I1019.2,1e-07,1e-07,1e-07,1e-07,0.9999999403953552
P.23,1e-07,1e-07,1e-07,0.9999999403953552,1e-07
I1011,1e-07,1e-07,1e-07,1e-07,0.9999999403953552
I1019.1,1e-07,1e-07,1e-07,1e-07,0.9999999701976776
I877.6,1e-07,1e-07,1e-07,0.9999995529652264,4.470347736429403e-07
P.24,1e-07,1e-07,1e-07,0.9999999701976776,1e-07
I1047.2,1e-07,1e-07,1e-07,0.9999999850988388,1e-07
P.25,1e-07,1e-07,1e-07,0.9999999850988388,1e-07
I1047.1,1e-07,1e-07,1e-07,0.9999999925494194,1e-07
I1042,1e-07,1e-07,1e-07,1e-07,0.9999999776482583
P.26,1e-07,1e-07,1e-07,0.9999999925494194,1e-07
I1034,1e-07,1e-07,1e-07,1e-07,0.9999999925494194
I1043.2,1e-07,1e-07,1e-07,1e-07,0.9999999962747097
P.27,1e-07,1e-07,1e-07,0.9999999962747097,1e-07
I1035,1e-07,1e-07,1e-07,1e-07,0.9999999962747097
I1043.1,1e-07,1e-07,1e-07,1e-07,0.9999999981373549
I877.7,1e-07,1e-07,1e-07,0.999999972060323,1e-07
P.3,1e-07,1e-07,1e-07,0.9375,0.0625
I891,1e-07,1e-07,1e-07,0.0625,0.9375
I899.1,1e-07,1e-07,1e-07,0.03125,0.96875
I877.1,1e-07,1e-07,1e-07,0.59600830078125,0.40399169921875
P.4,1e-07,1e-07,1e-07,0.96875,0.03125
I927.2,1e-07,1e-07,1e-07,0.984375,0.015625
P.5,1e-07,1e-07,1e-07,0.984375,0.015625
I927.1,1e-07,1e-07,1e-07,0.9921875,0.0078125
I922,1e-07,1e-07,1e-07,0.0233154296875,0.9766845703125
P.6,1e-07,1e-07,1e-07,0.9921875,0.0078125
I914,1e-07,1e-07,1e-07,0.0078125,0.9921875
I923.2,1e-07,1e-07,1e-07,0.00390625,0.99609375
P.7,1e-07,1e-07,1e-07,0.99609375,0.00390625
I915,1e-07,1e-07,1e-07,0.00390625,0.99609375
I923.1,1e-07,1e-07,1e-07,0.001953125,0.998046875
I877.2,1e-07,1e-07,1e-07,0.9709692606702447,0.029030739329755306
I878.2,1e-07,1e-07,1e-07,0.5787057391628991,0.42129426083710086
P.8,1e-07,1e-07,1e-07,0.998046875,0.001953125
I951.2,1e-07,1e-07,1e-07,0.9990234375,0.0009765625
P.9,1e-07,1e-07,1e-07,0.9990234375,0.0009765625
I951.1,1e-07,1e-07,1e-07,0.99951171875,0.00048828125
I946,1e-07,1e-07,1e-07,0.0014643669128417969,0.9985356330871582
I877.3,1e-07,1e-07,1e-07,0.998169988175519,0.0018300118244809482
I878.3,1e-07,1e-07,1e-07,0.577646700817336,0.42235329918266395
I878.4,1e-07,1e-07,1e-07,0.5775805967522445,0.4224194032477555
I878.5,1e-07,1e-07,1e-07,0.5775764655830815,0.4224235344169185
I878.6,1e-07,1e-07,1e-07,0.577576207386317,0.422423792613683
I878.7,1e-07,1e-07,1e-07,0.5775761912490243,0.42242380875097574
I539,1e-07,1e-07,1e-07,0.49999999976716936,0.5000000002328306
I556,1e-07,1e-07,1e-07,0.5,0.5
I572,1e-07,1e-07,1e-07,1e-07,0.9999999995343387
I580.2,1e-07,1e-07,1e-07,0.5,0.5
I580.3,1e-07,1e-07,1e-07,0.5000000004656613,0.4999999995343387
I580.4,1e-07,1e-07,1e-07,0.9999999995343387,1e-07
I595.1,1e-07,1e-07,1e-07,0.9999999995343387,1e-07
I820,1e-07,1e-07,1e-07,0.5,0.5
I616.8,1e-07,1e-07,1e-07,0.875,0.125
I827,1e-07,1e-07,1e-07,0.125,0.875
P.30,1e-07,1e-07,1e-07,0.9999999995343387,1e-07
I1058,1e-07,1e-07,1e-07,1e-07,0.9999999995343387
I1067.2,1e-07,1e-07,1e-07,1e-07,0.9999999997671694
I538,1e-07,1e-07,1e-07,0.5000000001164153,0.4999999998835847
I555,1e-07,1e-07,1e-07,0.5,0.5
I569,1e-07,1e-07,1e-07,0.5000000002328306,0.49999999976716936
I568,1e-07,1e-07,1e-07,0.49999999976716936,0.5000000002328306
I577.1,1e-07,1e-07,1e-07,1e-07,0.9999999997671694
I592.1,1e-07,1e-07,1e-07,1e-07,0.9999999997671694
I821,1e-07,1e-07,1e-07,0.5,0.5
I617.8,1e-07,1e-07,1e-07,0.9375,0.0625
P.31,1e-07,1e-07,1e-07,0.9999999997671694,1e-07
I1059,1e-07,1e-07,1e-07,1e-07,0.9999999997671694
