Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
I318,1e-07,1e-07,1e-07,0.9375,0.0625
I416,1e-07,1e-07,1e-07,0.75,0.25
I377,1e-07,1e-07,1e-07,0.125,0.875
I316,1e-07,1e-07,1e-07,0.9375,0.0625
I184,1e-07,1e-07,1e-07,0.12109375,0.87890625
I183,1e-07,1e-07,1e-07,0.87890625,0.12109375
I457,1e-07,1e-07,1e-07,0.0009765625,0.9990234375
I458,1e-07,1e-07,1e-07,0.9990234375,0.0009765625
I463,1e-07,1e-07,1e-07,0.0078125,0.9921875
I25,1e-07,1e-07,1e-07,0.9766845703125,0.0233154296875
I478,1e-07,1e-07,1e-07,0.96875,0.03125
I461,1e-07,1e-07,1e-07,0.0009765625,0.9990234375
I462,1e-07,1e-07,1e-07,0.9990234375,0.0009765625
I574_2,1e-07,1e-07,1e-07,0.99609375,0.00390625
I626_1,1e-07,1e-07,1e-07,0.875,0.125
I626_2,1e-07,1e-07,1e-07,0.98486328125,0.01513671875
I192,1e-07,1e-07,1e-07,0.13824462890625,0.86175537109375
I191,1e-07,1e-07,1e-07,0.86175537109375,0.13824462890625
I574_1,1e-07,1e-07,1e-07,0.9913597106933594,0.008640289306640625
I161,1e-07,1e-07,1e-07,0.014440532395937566,0.9855594676040624
I23,1e-07,1e-07,1e-07,0.9855594676040624,0.014440532395937566
11456,1e-07,1e-07,1e-07,0.999994739262223,5.260737776992941e-06
I178,1e-07,1e-07,1e-07,0.4375,0.5625
I351,1e-07,1e-07,1e-07,0.140625,0.859375
I824_1,1e-07,1e-07,1e-07,0.75,0.25
I456,1e-07,1e-07,1e-07,0.947265625,0.052734375
I455,1e-07,1e-07,1e-07,0.052734375,0.947265625
11457,1e-07,1e-07,1e-07,0.947265625,0.052734375
11458,1e-07,1e-07,1e-07,0.9999997225782813,2.7742171870861214e-07
11459,1e-07,1e-07,1e-07,0.9999485015869141,5.14984130859375e-05
11460,1e-07,1e-07,1e-07,0.9999847412109375,1.52587890625e-05
11461,1e-07,1e-07,1e-07,0.9999999992141966,1e-07
I375,1e-07,1e-07,1e-07,0.25,0.75
I302,1e-07,1e-07,1e-07,0.875,0.125
I430,1e-07,1e-07,1e-07,0.75,0.25
I305,1e-07,1e-07,1e-07,0.1875,0.8125
I726_1,1e-07,1e-07,1e-07,0.65625,0.34375
I303,1e-07,1e-07,1e-07,0.171875,0.828125
I648_1,1e-07,1e-07,1e-07,0.3271484375,0.6728515625
I208,1e-07,1e-07,1e-07,0.918212890625,0.081787109375
11462,1e-07,1e-07,1e-07,0.918212890625,0.081787109375
I133,1e-07,1e-07,1e-07,0.5,0.5
I179,1e-07,1e-07,1e-07,0.375,0.625
I207,1e-07,1e-07,1e-07,0.081787109375,0.918212890625
I331,1e-07,1e-07,1e-07,0.28125,0.71875
I193,1e-07,1e-07,1e-07,0.62890625,0.37109375
I194,1e-07,1e-07,1e-07,0.37109375,0.62890625
I408,1e-07,1e-07,1e-07,0.75,0.25
I428,1e-07,1e-07,1e-07,0.75,0.25
I365,1e-07,1e-07,1e-07,0.0625,0.9375
I426,1e-07,1e-07,1e-07,0.984375,0.015625
I409,1e-07,1e-07,1e-07,0.00390625,0.99609375
I436,1e-07,1e-07,1e-07,0.75,0.25
I435,1e-07,1e-07,1e-07,0.25,0.75
I384,1e-07,1e-07,1e-07,0.9990234375,0.0009765625
I419,1e-07,1e-07,1e-07,0.00048828125,0.99951171875
I420,1e-07,1e-07,1e-07,0.99951171875,0.00048828125
I495,1e-07,1e-07,1e-07,0.00390625,0.99609375
I496,1e-07,1e-07,1e-07,0.99609375,0.00390625
I732_1,1e-07,1e-07,1e-07,0.375,0.625
I311,1e-07,1e-07,1e-07,0.00244140625,0.99755859375
I422,1e-07,1e-07,1e-07,0.998779296875,0.001220703125
I641_1,1e-07,1e-07,1e-07,0.9982916116714478,0.001708388328552246
I201,1e-07,1e-07,1e-07,0.0010677427053451538,0.9989322572946548
I872_1,1e-07,1e-07,1e-07,0.04638671875,0.95361328125
I872_2,1e-07,1e-07,1e-07,0.0078125,0.9921875
I515,1e-07,1e-07,1e-07,0.945152918659403,0.054847081340597015
I516,1e-07,1e-07,1e-07,0.054847081340597015,0.945152918659403
11463,1e-07,1e-07,1e-07,0.9999352228873538,6.477711264618602e-05
11464,1e-07,1e-07,1e-07,0.999994702067203,5.297932796990312e-06
I139,1e-07,1e-07,1e-07,0.5,0.5
I386,1e-07,1e-07,1e-07,0.75,0.25
I186,1e-07,1e-07,1e-07,0.625,0.375
I185,1e-07,1e-07,1e-07,0.375,0.625
I464,1e-07,1e-07,1e-07,0.9921875,0.0078125
I561_1,1e-07,1e-07,1e-07,0.99609375,0.00390625
I862_1,1e-07,1e-07,1e-07,0.98046875,0.01953125
11465,1e-07,1e-07,1e-07,0.999999869234368,1.3076563201092962e-07
I229,1e-07,1e-07,1e-07,0.25,0.75
I270,1e-07,1e-07,1e-07,0.9375,0.0625
I269,1e-07,1e-07,1e-07,0.0625,0.9375
I272,1e-07,1e-07,1e-07,0.859375,0.140625
I271,1e-07,1e-07,1e-07,0.140625,0.859375
I740_1,1e-07,1e-07,1e-07,0.1943359375,0.8056640625
I324,1e-07,1e-07,1e-07,0.951416015625,0.048583984375
11466,1e-07,1e-07,1e-07,0.951416015625,0.048583984375
I250,1e-07,1e-07,1e-07,0.75,0.25
I249,1e-07,1e-07,1e-07,0.25,0.75
I251,1e-07,1e-07,1e-07,0.25,0.75
I307,1e-07,1e-07,1e-07,0.25,0.75
I308,1e-07,1e-07,1e-07,0.75,0.25
I393,1e-07,1e-07,1e-07,0.25,0.75
I394,1e-07,1e-07,1e-07,0.75,0.25
I401,1e-07,1e-07,1e-07,0.0625,0.9375
I703_1,1e-07,1e-07,1e-07,0.5625,0.4375
I277,1e-07,1e-07,1e-07,0.21875,0.78125
I706_1,1e-07,1e-07,1e-07,0.4375,0.5625
I280,1e-07,1e-07,1e-07,0.78125,0.21875
I279,1e-07,1e-07,1e-07,0.21875,0.78125
I660_1,1e-07,1e-07,1e-07,0.3896484375,0.6103515625
I216,1e-07,1e-07,1e-07,0.80517578125,0.19482421875
I215,1e-07,1e-07,1e-07,0.19482421875,0.80517578125
I585_1,1e-07,1e-07,1e-07,0.012176513671875,0.987823486328125
I722_1,1e-07,1e-07,1e-07,0.65625,0.34375
I299,1e-07,1e-07,1e-07,0.0859375,0.9140625
11467,1e-07,1e-07,1e-07,0.9999345988035202,6.540119647979736e-05
11468,1e-07,1e-07,1e-07,0.9999968225492921,3.17745070788078e-06
11469,1e-07,1e-07,1e-07,0.984375,0.015625
I862_2,1e-07,1e-07,1e-07,0.9921875,0.0078125
I510,1e-07,1e-07,1e-07,0.027191162109375,0.972808837890625
11470,1e-07,1e-07,1e-07,0.972808837890625,0.027191162109375
11471,1e-07,1e-07,1e-07,0.999575138092041,0.0004248619079589844
11472,1e-07,1e-07,1e-07,1.0,1e-07
I128,1e-07,1e-07,1e-07,0.5,0.5
I132,1e-07,1e-07,1e-07,0.5,0.5
I233,1e-07,1e-07,1e-07,0.25,0.75
I248,1e-07,1e-07,1e-07,0.75,0.25
I247,1e-07,1e-07,1e-07,0.25,0.75
I297,1e-07,1e-07,1e-07,0.125,0.875
I258,1e-07,1e-07,1e-07,0.96875,0.03125
I313,1e-07,1e-07,1e-07,0.125,0.875
I327,1e-07,1e-07,1e-07,0.5625,0.4375
I355,1e-07,1e-07,1e-07,0.25,0.75
I362,1e-07,1e-07,1e-07,0.625,0.375
I373,1e-07,1e-07,1e-07,0.0625,0.9375
I288,1e-07,1e-07,1e-07,0.96875,0.03125
I405,1e-07,1e-07,1e-07,0.0078125,0.9921875
I262,1e-07,1e-07,1e-07,0.99609375,0.00390625
I261,1e-07,1e-07,1e-07,0.00390625,0.99609375
I480,1e-07,1e-07,1e-07,0.98828125,0.01171875
I614_1,1e-07,1e-07,1e-07,0.125,0.875
I181,1e-07,1e-07,1e-07,0.765625,0.234375
I182,1e-07,1e-07,1e-07,0.234375,0.765625
I554_1,1e-07,1e-07,1e-07,0.00091552734375,0.99908447265625
I654_1,1e-07,1e-07,1e-07,0.78125,0.21875
I212,1e-07,1e-07,1e-07,0.951171875,0.048828125
I711_1,1e-07,1e-07,1e-07,0.484375,0.515625
I285,1e-07,1e-07,1e-07,0.0322265625,0.9677734375
I286,1e-07,1e-07,1e-07,0.9677734375,0.0322265625
I528,1e-07,1e-07,1e-07,0.043567657470703125,0.9564323425292969
I527,1e-07,1e-07,1e-07,0.9564323425292969,0.043567657470703125
I772_1,1e-07,1e-07,1e-07,0.4375,0.5625
I367,1e-07,1e-07,1e-07,0.28125,0.71875
I494,1e-07,1e-07,1e-07,0.9296875,0.0703125
I493,1e-07,1e-07,1e-07,0.0703125,0.9296875
I448,1e-07,1e-07,1e-07,0.99560546875,0.00439453125
I819_1,1e-07,1e-07,1e-07,0.125,0.875
I449,1e-07,1e-07,1e-07,0.00042724609375,0.99957275390625
I450,1e-07,1e-07,1e-07,0.99957275390625,0.00042724609375
I876_1,1e-07,1e-07,1e-07,0.98828125,0.01171875
I518,1e-07,1e-07,1e-07,0.06037629256024957,0.9396237074397504
I517,1e-07,1e-07,1e-07,0.9396237074397504,0.06037629256024957
I903_1,1e-07,1e-07,1e-07,0.9921875,0.0078125
I538,1e-07,1e-07,1e-07,0.11225293667823621,0.8877470633217638
11474,1e-07,1e-07,1e-07,0.886934306610959,0.11306569338904104
I15,1e-07,1e-07,1e-07,0.8832338685169816,0.1167661314830184
I14,1e-07,1e-07,1e-07,0.9424672275781631,0.05753277242183685
I36,1e-07,1e-07,1e-07,0.9997406173497438,0.0002593826502561569
I17,1e-07,1e-07,1e-07,0.9917216301767177,0.008278369823282339
I16,1e-07,1e-07,1e-07,0.9888133556014194,0.011186644398580636
I130,1e-07,1e-07,1e-07,0.5,0.5
I131,1e-07,1e-07,1e-07,0.5,0.5
I138,1e-07,1e-07,1e-07,0.5,0.5
I204,1e-07,1e-07,1e-07,0.75,0.25
I203,1e-07,1e-07,1e-07,0.25,0.75
I223,1e-07,1e-07,1e-07,0.25,0.75
I232,1e-07,1e-07,1e-07,0.75,0.25
I235,1e-07,1e-07,1e-07,0.25,0.75
I236,1e-07,1e-07,1e-07,0.75,0.25
I238,1e-07,1e-07,1e-07,0.75,0.25
I239,1e-07,1e-07,1e-07,0.25,0.75
I240,1e-07,1e-07,1e-07,0.75,0.25
I245,1e-07,1e-07,1e-07,0.25,0.75
I246,1e-07,1e-07,1e-07,0.75,0.25
I256,1e-07,1e-07,1e-07,0.75,0.25
I255,1e-07,1e-07,1e-07,0.25,0.75
I265,1e-07,1e-07,1e-07,0.125,0.875
I283,1e-07,1e-07,1e-07,0.375,0.625
I284,1e-07,1e-07,1e-07,0.625,0.375
I290,1e-07,1e-07,1e-07,0.75,0.25
I289,1e-07,1e-07,1e-07,0.25,0.75
I291,1e-07,1e-07,1e-07,0.375,0.625
I30,1e-07,1e-07,1e-07,0.625,0.375
I33,1e-07,1e-07,1e-07,0.75,0.25
I34,1e-07,1e-07,1e-07,0.75,0.25
I341,1e-07,1e-07,1e-07,0.28125,0.71875
I342,1e-07,1e-07,1e-07,0.71875,0.28125
I344,1e-07,1e-07,1e-07,0.875,0.125
I345,1e-07,1e-07,1e-07,0.125,0.875
I357,1e-07,1e-07,1e-07,0.25,0.75
I260,1e-07,1e-07,1e-07,0.875,0.125
I360,1e-07,1e-07,1e-07,0.75,0.25
I363,1e-07,1e-07,1e-07,0.375,0.625
I369,1e-07,1e-07,1e-07,0.125,0.875
I320,1e-07,1e-07,1e-07,0.9375,0.0625
I173,1e-07,1e-07,1e-07,0.015625,0.984375
I35,1e-07,1e-07,1e-07,0.984375,0.015625
I380,1e-07,1e-07,1e-07,0.75,0.25
I388,1e-07,1e-07,1e-07,0.75,0.25
I347,1e-07,1e-07,1e-07,0.1875,0.8125
I348,1e-07,1e-07,1e-07,0.8125,0.1875
I396,1e-07,1e-07,1e-07,0.9921875,0.0078125
I413,1e-07,1e-07,1e-07,0.125,0.875
I244,1e-07,1e-07,1e-07,0.984375,0.015625
I243,1e-07,1e-07,1e-07,0.015625,0.984375
I322,1e-07,1e-07,1e-07,0.9375,0.0625
I417,1e-07,1e-07,1e-07,0.25,0.75
I431,1e-07,1e-07,1e-07,0.25,0.75
I440,1e-07,1e-07,1e-07,0.96875,0.03125
I443,1e-07,1e-07,1e-07,0.015625,0.984375
I446,1e-07,1e-07,1e-07,0.99560546875,0.00439453125
I445,1e-07,1e-07,1e-07,0.00439453125,0.99560546875
I454,1e-07,1e-07,1e-07,0.99969482421875,0.00030517578125
I459,1e-07,1e-07,1e-07,0.0625,0.9375
I466,1e-07,1e-07,1e-07,0.9375,0.0625
I465,1e-07,1e-07,1e-07,0.0625,0.9375
I468,1e-07,1e-07,1e-07,0.99951171875,0.00048828125
I469,1e-07,1e-07,1e-07,0.00390625,0.99609375
I20,1e-07,1e-07,1e-07,0.9690088033676147,0.030991196632385254
I470,1e-07,1e-07,1e-07,0.99609375,0.00390625
I471,1e-07,1e-07,1e-07,0.001953125,0.998046875
I472,1e-07,1e-07,1e-07,0.998046875,0.001953125
I475,1e-07,1e-07,1e-07,0.0078125,0.9921875
I482,1e-07,1e-07,1e-07,0.96875,0.03125
I483,1e-07,1e-07,1e-07,0.00390625,0.99609375
I264,1e-07,1e-07,1e-07,0.9990234375,0.0009765625
I263,1e-07,1e-07,1e-07,0.0009765625,0.9990234375
I485,1e-07,1e-07,1e-07,0.005859375,0.994140625
I452,1e-07,1e-07,1e-07,0.99835205078125,0.00164794921875
I487,1e-07,1e-07,1e-07,0.046875,0.953125
I488,1e-07,1e-07,1e-07,0.953125,0.046875
I491,1e-07,1e-07,1e-07,0.001953125,0.998046875
I499,1e-07,1e-07,1e-07,0.03125,0.96875
I502,1e-07,1e-07,1e-07,0.99951171875,0.00048828125
I541_1,1e-07,1e-07,1e-07,0.005859375,0.994140625
I550_1,1e-07,1e-07,1e-07,0.008514404296875,0.991485595703125
I557_1,1e-07,1e-07,1e-07,0.96875,0.03125
I557_2,1e-07,1e-07,1e-07,0.9921875,0.0078125
I152,1e-07,1e-07,1e-07,0.05753277242183685,0.9424672275781631
I564_1,1e-07,1e-07,1e-07,0.99609375,0.00390625
I567_1,1e-07,1e-07,1e-07,0.99560546875,0.00439453125
I571_1,1e-07,1e-07,1e-07,0.0078125,0.9921875
I21,1e-07,1e-07,1e-07,0.9398651123046875,0.0601348876953125
I578_1,1e-07,1e-07,1e-07,0.953125,0.046875
I162,1e-07,1e-07,1e-07,0.12129829358309507,0.8787017064169049
I24,1e-07,1e-07,1e-07,0.8787017064169049,0.12129829358309507
I585_2,1e-07,1e-07,1e-07,0.015625,0.984375
I27,1e-07,1e-07,1e-07,0.8888240866363049,0.11117591336369514
I589_2,1e-07,1e-07,1e-07,0.000732421875,0.999267578125
I596_1,1e-07,1e-07,1e-07,0.999755859375,0.000244140625
I596_2,1e-07,1e-07,1e-07,0.99609375,0.00390625
I603_1,1e-07,1e-07,1e-07,0.0001220703125,0.9998779296875
I606_1,1e-07,1e-07,1e-07,0.5,0.5
I606_2,1e-07,1e-07,1e-07,0.5,0.5
I606_3,1e-07,1e-07,1e-07,0.75,0.25
I606_4,1e-07,1e-07,1e-07,0.75,0.25
I175,1e-07,1e-07,1e-07,0.4375,0.5625
I473,1e-07,1e-07,1e-07,0.0001373291015625,0.9998626708984375
I474,1e-07,1e-07,1e-07,0.9998626708984375,0.0001373291015625
I619_1,1e-07,1e-07,1e-07,0.125,0.875
I619_2,1e-07,1e-07,1e-07,0.1875,0.8125
I187,1e-07,1e-07,1e-07,0.7109375,0.2890625
I188,1e-07,1e-07,1e-07,0.2890625,0.7109375
I589_1,1e-07,1e-07,1e-07,0.001129150390625,0.998870849609375
I623_1,1e-07,1e-07,1e-07,0.8125,0.1875
I190,1e-07,1e-07,1e-07,0.59375,0.40625
I189,1e-07,1e-07,1e-07,0.40625,0.59375
I631_1,1e-07,1e-07,1e-07,0.8515625,0.1484375
I638_1,1e-07,1e-07,1e-07,0.625,0.375
I200,1e-07,1e-07,1e-07,0.912109375,0.087890625
I199,1e-07,1e-07,1e-07,0.087890625,0.912109375
I645_1,1e-07,1e-07,1e-07,0.625,0.375
I206,1e-07,1e-07,1e-07,0.921875,0.078125
I205,1e-07,1e-07,1e-07,0.078125,0.921875
I547_1,1e-07,1e-07,1e-07,0.0390625,0.9609375
I651_1,1e-07,1e-07,1e-07,0.3125,0.6875
I209,1e-07,1e-07,1e-07,0.04296875,0.95703125
I210,1e-07,1e-07,1e-07,0.95703125,0.04296875
I657_1,1e-07,1e-07,1e-07,0.5625,0.4375
I214,1e-07,1e-07,1e-07,0.96484375,0.03515625
I663_1,1e-07,1e-07,1e-07,0.65625,0.34375
I217,1e-07,1e-07,1e-07,0.171875,0.828125
I666_1,1e-07,1e-07,1e-07,0.37109375,0.62890625
I220,1e-07,1e-07,1e-07,0.9992752075195312,0.00072479248046875
I669_1,1e-07,1e-07,1e-07,0.9439830780029297,0.05601692199707031
I221,1e-07,1e-07,1e-07,0.028008460998535156,0.9719915390014648
I694_1,1e-07,1e-07,1e-07,0.75,0.25
I268,1e-07,1e-07,1e-07,0.625,0.375
I267,1e-07,1e-07,1e-07,0.375,0.625
I700_1,1e-07,1e-07,1e-07,0.091796875,0.908203125
I276,1e-07,1e-07,1e-07,0.9996414184570312,0.00035858154296875
I167,1e-07,1e-07,1e-07,0.0012202944847041763,0.9987797055152958
I170,1e-07,1e-07,1e-07,0.004643240805914606,0.9953567591940854
I29,1e-07,1e-07,1e-07,0.9987797055152958,0.0012202944847041763
I32,1e-07,1e-07,1e-07,0.9953567591940854,0.004643240805914606
I717_1,1e-07,1e-07,1e-07,0.1796875,0.8203125
I294,1e-07,1e-07,1e-07,0.9775390625,0.0224609375
I293,1e-07,1e-07,1e-07,0.0224609375,0.9775390625
I747_1,1e-07,1e-07,1e-07,0.53125,0.46875
I18,1e-07,1e-07,1e-07,0.93359375,0.06640625
I153,1e-07,1e-07,1e-07,0.1167661314830184,0.8832338685169816
I751_1,1e-07,1e-07,1e-07,0.53125,0.46875
I338,1e-07,1e-07,1e-07,0.734375,0.265625
I337,1e-07,1e-07,1e-07,0.265625,0.734375
I754_1,1e-07,1e-07,1e-07,0.53125,0.46875
I340,1e-07,1e-07,1e-07,0.734375,0.265625
I339,1e-07,1e-07,1e-07,0.265625,0.734375
I763_1,1e-07,1e-07,1e-07,0.40625,0.59375
I353,1e-07,1e-07,1e-07,0.296875,0.703125
I354,1e-07,1e-07,1e-07,0.703125,0.296875
I631_2,1e-07,1e-07,1e-07,0.8515625,0.1484375
I196,1e-07,1e-07,1e-07,0.27484130859375,0.72515869140625
I582_1,1e-07,1e-07,1e-07,0.0687103271484375,0.9312896728515625
I786_1,1e-07,1e-07,1e-07,0.460693359375,0.539306640625
I392,1e-07,1e-07,1e-07,0.7696533203125,0.2303466796875
I813_1,1e-07,1e-07,1e-07,0.0029277801513671875,0.9970722198486328
I442,1e-07,1e-07,1e-07,0.9987190961837769,0.0012809038162231445
I441,1e-07,1e-07,1e-07,0.0012809038162231445,0.9987190961837769
I544_1,1e-07,1e-07,1e-07,0.00032022595405578613,0.9996797740459442
I847_1,1e-07,1e-07,1e-07,0.375,0.625
I497,1e-07,1e-07,1e-07,0.234375,0.765625
I498,1e-07,1e-07,1e-07,0.765625,0.234375
I635_1,1e-07,1e-07,1e-07,0.5892658233642578,0.4107341766357422
I197,1e-07,1e-07,1e-07,0.10268354415893555,0.8973164558410645
I523,1e-07,1e-07,1e-07,0.7800858727277955,0.2199141272722045
I852_1,1e-07,1e-07,1e-07,0.03515625,0.96484375
I503,1e-07,1e-07,1e-07,0.9639015197753906,0.036098480224609375
I504,1e-07,1e-07,1e-07,0.036098480224609375,0.9639015197753906
I855_1,1e-07,1e-07,1e-07,0.000457763671875,0.999542236328125
I855_2,1e-07,1e-07,1e-07,0.0078125,0.9921875
I505,1e-07,1e-07,1e-07,0.9917333126068115,0.008266687393188477
I859_1,1e-07,1e-07,1e-07,0.99969482421875,0.00030517578125
I508,1e-07,1e-07,1e-07,0.001281440258026123,0.9987185597419739
I507,1e-07,1e-07,1e-07,0.9987185597419739,0.001281440258026123
I866_1,1e-07,1e-07,1e-07,0.015625,0.984375
I511,1e-07,1e-07,1e-07,0.8997802734375,0.1002197265625
I512,1e-07,1e-07,1e-07,0.1002197265625,0.8997802734375
I26,1e-07,1e-07,1e-07,0.8379560764878988,0.16204392351210117
I869_1,1e-07,1e-07,1e-07,0.99951171875,0.00048828125
I514,1e-07,1e-07,1e-07,0.0009763240814208984,0.9990236759185791
I31,1e-07,1e-07,1e-07,0.9483050495910704,0.051694950408929574
I879_1,1e-07,1e-07,1e-07,0.00164794921875,0.99835205078125
I519,1e-07,1e-07,1e-07,0.9973770976066589,0.0026229023933410645
I155,1e-07,1e-07,1e-07,0.008278369823282339,0.9917216301767177
I882_1,1e-07,1e-07,1e-07,0.9989013671875,0.0010986328125
I522,1e-07,1e-07,1e-07,0.0025613909238018095,0.9974386090761982
I886_1,1e-07,1e-07,1e-07,0.96484375,0.03515625
I526,1e-07,1e-07,1e-07,0.05434560488720308,0.9456543951127969
I525,1e-07,1e-07,1e-07,0.9456543951127969,0.05434560488720308
I890_1,1e-07,1e-07,1e-07,0.99560546875,0.00439453125
I530,1e-07,1e-07,1e-07,0.007308944964849573,0.9926910550351504
I529,1e-07,1e-07,1e-07,0.9926910550351504,0.007308944964849573
I154,1e-07,1e-07,1e-07,0.011186644398580636,0.9888133556014194
I893_1,1e-07,1e-07,1e-07,0.00067138671875,0.99932861328125
I531,1e-07,1e-07,1e-07,0.9743805771321653,0.025619422867834696
I532,1e-07,1e-07,1e-07,0.025619422867834696,0.9743805771321653
I28,1e-07,1e-07,1e-07,0.9725675031004258,0.027432496899574166
I896_1,1e-07,1e-07,1e-07,0.984375,0.015625
I534,1e-07,1e-07,1e-07,0.2559122763902013,0.7440877236097987
I899_1,1e-07,1e-07,1e-07,0.99957275390625,0.00042724609375
I899_2,1e-07,1e-07,1e-07,0.9921875,0.0078125
I536,1e-07,1e-07,1e-07,0.062134400533290446,0.9378655994667096
I906_1,1e-07,1e-07,1e-07,0.98828125,0.01171875
I906_2,1e-07,1e-07,1e-07,0.96875,0.03125
I540,1e-07,1e-07,1e-07,0.0837407112121582,0.9162592887878418
